id         ,object_id,object_name                      ,time_seconds,left         ,top           ,right      ,bottom
c2B1ghS1fOE,dc932c06 ,top                              ,97.56       ,0.2851184    ,0.16967009    ,0.49947077 ,0.5649987
c2B1ghS1fOE,dc932c06 ,top                              ,97.68       ,0.27730408   ,0.15763134    ,0.513945   ,0.5546437
c2B1ghS1fOE,dc932c06 ,top                              ,97.8        ,0.2770724    ,0.15524355    ,0.52517056 ,0.5436597
c2B1ghS1fOE,dc932c06 ,top                              ,97.92       ,0.28181893   ,0.15358727    ,0.5320022  ,0.53693235
c2B1ghS1fOE,dc932c06 ,top                              ,98.04       ,0.27983576   ,0.15616423    ,0.534287   ,0.53751636
c2B1ghS1fOE,dc932c06 ,top                              ,98.16       ,0.28528145   ,0.15922605    ,0.5325326  ,0.53549415
c2B1ghS1fOE,dc932c06 ,top                              ,98.28       ,0.28634524   ,0.16413438    ,0.53718394 ,0.53763217
c2B1ghS1fOE,dc932c06 ,top                              ,98.4        ,0.29448864   ,0.16687664    ,0.5496557  ,0.5482348
c2B1ghS1fOE,dc932c06 ,top                              ,98.52       ,0.30356324   ,0.16783448    ,0.560256   ,0.55292034
c2B1ghS1fOE,dc932c06 ,top                              ,98.64       ,0.3151358    ,0.17396776    ,0.564052   ,0.5526439
c2B1ghS1fOE,dc932c06 ,top                              ,98.76       ,0.32044104   ,0.17615175    ,0.56946576 ,0.5549282
c2B1ghS1fOE,dc932c06 ,top                              ,98.88       ,0.3248124    ,0.17752783    ,0.5727574  ,0.5591081
c2B1ghS1fOE,dc932c06 ,top                              ,99.0        ,0.32702112   ,0.17929226    ,0.5741651  ,0.5620858
c2B1ghS1fOE,dc932c06 ,top                              ,99.12       ,0.3257021    ,0.1810228     ,0.5773827  ,0.5650754
c2B1ghS1fOE,dc932c06 ,top                              ,99.24       ,0.335169     ,0.18202901    ,0.573407   ,0.56719947
c2B1ghS1fOE,dc932c06 ,top                              ,99.36       ,0.33309165   ,0.18208367    ,0.57472706 ,0.569744
c2B1ghS1fOE,dc932c06 ,top                              ,99.48       ,0.3272902    ,0.18284814    ,0.5755031  ,0.56907654
c2B1ghS1fOE,dc932c06 ,top                              ,99.6        ,0.327057     ,0.18437052    ,0.5725592  ,0.568834
c2B1ghS1fOE,dc932c06 ,top                              ,99.72       ,0.32714128   ,0.18504064    ,0.567659   ,0.56724715
c2B1ghS1fOE,dc932c06 ,top                              ,99.84       ,0.32673547   ,0.18670565    ,0.5572504  ,0.5673716
c2B1ghS1fOE,dc932c06 ,top                              ,99.96       ,0.33158004   ,0.1830724     ,0.5466887  ,0.5693385
